Country,Code,co2,inde_pib,expo_tec,inv,gdpppa
Mauricio,MUS,3.35311047207863,,276502,,19290.722604083
Malawi,MWI,0.074762910046952,,6096774,,1152.17391901941
Malasia,MYS,8.03299157864044,1.26275,63376041042,2029.60717,25566.0900046974
Namibia,NAM,1.58372866715704,0.33996,83161368,143.31554,10162.5524540443
Nueva Caledonia,NCL,16.005931729155,,136661132,,
Níger,NER,0.111073515505541,,69108666,,955.727446551106
Nigeria,NGA,0.545622113213755,,139618952,,6008.09561136104
Nicaragua,NIC,0.808520855597367,0.08935,8198780,,5056.05527052117
Países Bajos,NLD,9.92013807523839,2.00116,70308349003,4513.4448,49233.2153954401
Noruega,NOR,9.27094513154166,1.71187,5226184042,5687.78815,66015.4402996855
Nepal,NPL,0.283538525834667,,1058351,,2394.64138847779
Nauru,NRU,4.02185100818358,,,,13273.4832372078
Nueva Zelandia,NZL,7.68657582544293,,644639540,,37283.1004115687
Omán,OMN,15.4431671894823,0.21253,230872191,180.89209,42653.3508708331
Pakistán,PAK,0.896264105182138,,259253378,,4835.62727995952
Panamá,PAN,2.2543113627969,,668823660,,21152.7005559371
Perú,PER,1.99348594924528,0.10789,186463890,,12202.4152152741
Filipinas,PHL,1.05545684592961,,23839225492,,6959.21290739219
Palau,PLW,12.3427040864701,,1102773,,13728.5368377456
Papua Nueva Guinea,PNG,0.81464880730964,,,,3919.32837370352
Polonia,POL,7.51715158489872,0.94014,14487253098,2053.16316,25612.2578311438
Puerto Rico,PRI,,,,,37053.7520496189
"Corea, República Popular Democrática de",PRK,1.61359684123056,,,,
Portugal,PRT,4.33155402784831,1.28973,2088870513,3643.85568,28746.6530781988
Paraguay,PRY,0.870219290588263,0.10331,55955000,153.2983,11569.2352350243
Ribera Occidental y Gaza,PSE,,,1101491,,4564.37775730625
posterior al dividendo demográfico,PST,10.3567726711968,2.52253331521013,1264338123737,4167.81245632105,42808.3351162273
Polinesia Francesa,PYF,2.91513481726706,,19732265,,
Qatar,QAT,45.4232399589121,,33285,,127710.936931736
